chroma_stft,rms,spectral_centroid,spectral_bandwith,rollof,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.46499315,0.0075143124,2111.240599223895,2318.975301896757,4468.937174479167,0.09958676938657407,-339.1717,107.07998,-22.865965,14.37139,-4.003101,6.421072,-12.814744,10.365475,-11.616615,19.525448,-1.2496619,13.583784,-1.2906172,7.6218176,-3.5582805,8.135561,-4.264279,7.7949567,-4.6279774,6.281225,Sin-Bandera-Ahora-Se
0.46514535,0.008591366,2095.6812522194223,2286.061024311286,4406.3812255859375,0.09952573423032407,-328.10138,107.928406,-23.035368,15.535315,-4.949568,7.4981685,-13.513164,10.381374,-11.114418,18.926266,-1.3395196,12.655189,-1.4500903,6.8408704,-3.2430964,7.076512,-3.571475,6.934048,-4.028074,5.364807,Sin-Bandera-Ahora-Se
0.47412217,0.00986984,2141.5698144347507,2283.064132214288,4508.7636311848955,0.10496464482060185,-310.14273,106.491455,-23.572073,17.730394,-5.679696,9.114355,-14.65896,10.118413,-11.783087,17.40701,-2.3005311,11.43625,-2.432837,7.4278226,-3.1992023,6.9956775,-3.7783952,5.7974844,-4.1904106,4.646149,Sin-Bandera-Ahora-Se
0.48846507,0.010987934,2214.0671272663253,2314.3544001610103,4698.9735921223955,0.10808195891203703,-294.7865,103.75528,-21.990822,20.302372,-6.433239,10.925664,-14.215877,9.681786,-10.919816,16.300238,-2.4954648,11.007061,-4.0017405,7.4908543,-2.5626307,6.304605,-4.0416555,5.3506265,-4.349854,3.8559437,Sin-Bandera-Ahora-Se
0.4991359,0.011736087,2273.427860802876,2357.0007072175163,4896.112060546875,0.11348696108217593,-283.19415,101.88243,-19.827885,21.971083,-6.3684626,12.815543,-16.1761,9.158507,-11.246325,13.804737,-4.3108273,10.109025,-5.6054664,7.351358,-3.7381275,5.1169567,-4.4917917,3.2920375,-4.7170706,2.8443403,Sin-Bandera-Ahora-Se
0.50478673,0.011297431,2305.949890353223,2395.873766018837,5051.33056640625,0.11385091145833333,-286.16916,100.63614,-17.627806,22.227598,-5.38639,14.70969,-16.44091,9.455471,-10.841369,13.2564945,-4.7844424,10.019334,-5.8615837,7.1374474,-3.8525295,4.93436,-4.6881404,3.1818323,-4.5046406,2.8052804,Sin-Bandera-Ahora-Se
0.472353,0.018359782,2279.848140617546,2372.692284657747,4979.852294921875,0.11153157552083333,-283.20905,97.10965,-13.48592,18.118233,-1.6324626,11.287263,-13.514358,6.120736,-7.672985,9.569602,-1.7486906,7.13044,-1.4993067,5.4561057,-1.1016078,0.36584055,-2.0062385,0.9081818,-1.6584464,-2.0960045,Sin-Bandera-Ahora-Se
0.40605518,0.044121187,2190.7570229462062,2275.07023281429,4592.354329427083,0.11195203993055555,-274.1588,96.423386,-14.555614,14.058983,3.0841675,6.5223823,-15.954474,3.3380222,-5.418206,11.846645,-2.7075913,6.2294807,-6.192803,5.318444,-7.011627,-1.0144445,-4.9799204,4.431558,-1.1775259,-0.06160358,Sin-Bandera-Ahora-Se
0.3398985,0.06067357,2013.3287393485164,2097.406694511495,4053.02734375,0.10820628978587964,-262.901,104.01181,-19.396214,12.358229,6.846252,1.2100983,-17.507088,2.6267507,-2.457107,11.857995,-4.6624794,4.2976527,-12.215303,3.53588,-10.904253,0.8788555,-7.0757866,3.647031,0.08665201,2.1751256,Sin-Bandera-Ahora-Se
0.2739051,0.07558528,1804.206407991998,1917.0300131586487,3450.396728515625,0.09945113570601852,-252.38542,112.637566,-19.340908,11.990974,9.434408,-2.784004,-17.216068,0.16643779,-2.0617507,9.909864,-6.9982944,4.4407406,-16.509737,4.423492,-7.414214,6.0403805,-8.471004,2.9353771,-3.6454954,2.0214763,Sin-Bandera-Ahora-Se
0.23593338,0.08115161,1581.8707552612864,1676.0290045325523,2805.9956868489585,0.09572573061342593,-256.04504,124.00011,-20.229313,9.928514,13.024516,-6.8095884,-18.352602,-2.5543835,-2.8181188,6.21305,-10.887635,1.416495,-19.806713,5.6238394,-5.472257,9.812542,-6.2851405,0.83508354,-4.7817097,0.9403111,Sin-Bandera-Ahora-Se
0.2053655,0.08833229,1382.6571311892824,1489.195250202593,2271.7529296875,0.08969907407407407,-255.44217,138.85406,-19.172274,5.469427,13.405833,-10.777712,-20.723751,-5.622971,-4.8129845,3.595294,-12.602348,-1.141485,-24.286655,4.2411623,-7.420167,13.012499,-5.554941,-0.6388558,-4.156145,3.982225,Sin-Bandera-Ahora-Se
0.22928733,0.07727827,1218.4916464590958,1378.8451571704115,2019.3359375,0.07881899233217593,-259.26425,154.32704,-16.331104,5.8606043,8.940662,-9.4441395,-21.427864,-5.8787646,-7.5687656,1.0999551,-12.018581,-0.34738737,-24.456152,0.4407028,-4.9349813,13.379167,-6.6419525,-4.162491,-3.2079997,2.18411,Sin-Bandera-Ahora-Se
0.2564741,0.0704243,1151.3057720528957,1337.8402778642205,1906.6355387369792,0.0769924587673611,-271.88358,162.0331,-10.631999,2.336725,6.3442683,-10.531385,-23.973452,-8.909583,-14.940303,-2.9759872,-11.685692,0.5690361,-21.686049,-1.2463713,-5.2200356,12.228553,-3.2900982,-2.8733332,-3.4347172,1.3715807,Sin-Bandera-Ahora-Se
0.28232086,0.061081313,1095.7253354409397,1266.4860377743662,1808.9385986328125,0.07304551866319445,-291.8223,169.53236,-10.642644,-1.777212,5.2043447,-11.598083,-25.611805,-9.378497,-16.243635,-4.1408916,-8.958875,-0.72918546,-18.124475,-4.8410883,-8.960543,8.265093,1.0154749,0.031444408,1.0154806,1.2452468,Sin-Bandera-Ahora-Se
0.28242376,0.07293758,1094.811558095219,1263.792067053089,1825.6368001302083,0.07042100694444445,-272.81473,171.7404,-15.053807,-2.09883,3.3879015,-10.768581,-26.355013,-10.837945,-17.303381,-6.4475293,-8.635445,0.8289945,-13.810427,-4.0639157,-10.2427025,2.2587843,-3.4395244,0.0041403947,0.37639222,-0.21164873,Sin-Bandera-Ahora-Se
0.28024355,0.093751416,1324.5695267411184,1503.4854967792044,2555.572509765625,0.07550953052662036,-234.42549,153.12549,-13.532627,-3.1016407,-0.7997609,-6.322434,-26.48455,-11.923584,-19.372974,-5.6054606,-10.256385,0.6036486,-13.198246,-4.412949,-15.55417,-1.1347661,-6.8390536,-1.3950251,-2.672403,-1.8259585,Sin-Bandera-Ahora-Se
